#Table1,,,,,
u,g,r,i,z,redshift
23.17008,21.31258,19.34066,18.61637,18.22563,0.3995048
20.07927,19.17567,18.82614,18.68721,18.65041,-3.98E-05
19.03027,17.92062,17.54537,17.40652,17.39518,-1.12E-05
23.1909,21.93066,20.50003,19.59644,19.16863,0.490166
23.64136,23.79719,21.46107,20.00439,19.50281,0.6550429
21.79282,20.48027,20.42968,20.40674,20.29068,5.002956E-05
22.59375,19.69266,18.08344,17.51397,17.07878,0.3229412
22.42764,20.24626,18.56559,17.9444,17.6449,0.3207959
19.69828,18.55595,18.49161,18.4904,18.54156,-0.000577466
-9999,-9999,19.536,-9999,-9999,-3.88E-05
24.9564,21.03737,19.19745,18.61102,18.23225,0.3587229
25.33293,23.50375,21.20762,20.41461,20.23277,4.524074
25.28539,22.48297,20.68918,19.83819,19.1445,0.3587013
22.79335,22.32733,20.45488,19.45877,19.08397,0.56971
23.78683,21.16024,19.64484,18.88199,18.57779,0.3956116
22.72929,21.09258,19.99794,19.12527,18.99277,0.567876
22.2995,21.75903,20.96328,20.12043,19.69831,0.6708613
24.74409,20.4186,18.59284,17.89664,17.3416,0.3978681
18.3738,16.84218,16.10014,15.71413,15.41793,0.04749686
18.6924,17.7664,17.48753,17.38595,17.35225,0.000216704
23.13649,21.06394,20.07527,19.23621,19.01231,0.5763273
23.93514,22.78387,21.23431,20.16624,19.80763,0.5997498
23.16547,22.38709,20.52728,19.44034,19.03587,0.5899124
24.04941,22.36324,20.39569,19.55343,19.00896,0.3965928
23.29183,21.73977,20.21645,19.24755,18.84561,0.6001171
23.02793,22.0391,20.53645,19.77772,19.30825,0.5098644
22.77577,21.2713,21.00471,20.82382,20.3102,2.759892
23.13646,21.79988,20.86716,20.00195,19.88809,0.6090348
25.22304,21.26028,19.49335,18.74841,18.29982,0.4448248
24.41484,21.84976,20.57884,19.73232,19.17465,0.6075168
21.49483,20.7644,20.64839,20.71654,20.21755,2.51443
24.01835,22.24024,20.29811,19.30461,18.66067,0.5238609
23.4409,20.84161,19.15266,18.43851,18.04474,0.3948526
20.364,18.42771,17.02569,16.48351,16.11964,0.2155362
18.92986,17.92031,17.41597,17.12756,17.03521,0.1484416
20.98307,20.3231,20.59229,20.34479,20.01975,2.216057
19.14205,17.96772,17.45321,17.09447,16.88161,0.088566
24.11098,22.07407,20.13013,19.27866,18.89832,0.4448824
19.18844,18.75792,18.86976,19.02108,19.25434,5.591051E-05
25.94345,22.45688,20.75955,19.43454,18.94952,0.7092116
23.34714,22.18032,20.53186,19.73936,19.17253,0.4459751
22.38247,21.08493,19.79596,18.82801,18.38102,0.540608
25.6967,21.60531,19.66871,18.91021,18.44459,0.4455
24.47771,21.79133,20.04071,18.89003,18.4931,0.5236139
23.34897,21.89924,21.9505,21.87838,21.8262,0.000669095
22.80071,21.5168,20.5324,19.79233,19.28113,0.5970289
21.15227,20.38126,20.37242,20.36057,20.09206,2.315991
22.17623,21.75811,21.57015,21.73005,21.325,3.845383E-05
-9999,-9999,-9999,-9999,-9999,0.07339082
19.88343,17.61305,16.44142,15.93705,15.59175,0.148768
24.40577,20.46966,18.58641,17.97859,17.52364,0.3878984
22.85327,21.10126,19.32917,18.67889,18.33632,0.3906556
18.28101,17.18856,16.70175,16.33173,16.14626,0.08813617
19.15242,17.42991,16.57173,16.15933,15.85434,0.08845632
24.73154,22.8614,21.35192,20.18869,19.96861,0.5961789
23.80886,22.93695,21.35107,19.91091,19.49707,0.6894358
25.45481,22.46469,20.55841,19.67436,19.34406,0.4981708
22.80065,22.87068,21.0807,19.64067,19.20827,0.6936086
25.88966,22.02222,20.20168,19.24945,18.71357,0.4952838
22.81258,21.95408,20.4319,19.58463,19.27229,0.4449987
25.0568,22.26131,20.39749,19.53065,19.07956,0.502507
22.38863,21.92118,20.8222,19.90887,19.34332,0.5728172
24.18382,22.25109,20.34644,19.49472,19.13758,0.4465351
23.42174,20.12167,18.35068,17.71701,17.3859,0.2841027
20.04055,18.57013,17.71136,17.21246,16.90959,0.1503105
19.67307,18.36896,17.49328,17.03351,16.76939,0.1664282
20.65925,18.97942,18.00406,17.53448,17.23835,0.1498905
19.72832,17.78989,16.79231,16.3449,15.99141,0.113629
22.02225,23.2908,23.0096,22.90546,20.53974,0.7070543
24.88162,22.38292,20.43478,19.67524,18.99407,0.4946779
22.31155,22.28219,20.50538,19.25315,18.69905,0.6703519
24.31736,23.70177,20.73801,19.3433,18.95041,0.6945287
24.18686,21.6836,21.03756,20.06404,19.93605,0.6715085
23.28004,21.87305,20.80288,19.9049,19.46588,0.6223077
21.63236,21.4755,20.53465,19.67248,19.26002,0.7119899
23.84904,22.054,20.57579,19.68745,19.21147,0.4929461
24.78886,21.72622,20.134,19.20906,18.63022,0.4941832
22.36021,21.75231,20.74331,19.83074,19.58464,0.5540544
23.08256,21.80572,20.49089,19.48845,18.93795,0.5456914
22.22256,20.29335,18.63344,18.05481,17.62384,0.2836175
20.12447,19.23353,18.90277,18.79781,18.70548,0.000264808
19.22582,18.9224,18.81053,18.69143,18.74117,1.452307
19.13297,18.72812,18.69815,18.67673,18.45058,2.270178
18.57808,17.38363,17.39016,17.42856,17.48906,0.000784398
23.20732,22.65828,21.11325,19.71412,19.03932,0.7548763
22.31261,22.25608,20.75031,19.61946,19.1628,0.6260204
25.14817,21.9387,21.75469,21.71906,21.48553,1.498492E-05
25.07523,22.17894,21.80803,22.20236,22.54685,3.232535
23.65634,20.82372,19.20137,18.50816,18.04614,0.3915218
23.01149,20.98721,19.20171,18.54869,18.11545,0.3955567
19.17263,18.06068,17.6305,17.33272,17.2204,0.08685333
25.45915,22.1542,19.99566,18.94484,18.4968,0.5449019
20.20148,18.08835,17.3072,16.87911,16.52814,0.08760627
19.82947,18.39298,17.50632,17.05725,16.77367,0.1711591
19.89047,18.4606,17.66271,17.15327,16.89748,0.1255008
22.78527,21.73863,20.42743,19.57289,19.17694,0.6157488
22.4059,20.96888,19.25377,18.56174,18.14201,0.3923039
19.14158,17.99588,17.53081,17.2301,17.13721,0.1066131
20.8848,18.94612,17.70516,17.25545,16.88878,0.1814606
17.7933,16.90408,16.6164,16.30378,16.30438,0.08875664
24.05934,22.37879,20.8917,19.64181,19.34799,0.3924615
23.65505,21.69173,21.49349,21.5291,21.23447,0.000100332
24.93267,22.15328,21.81001,21.14332,20.82448,2.306275
23.3517,22.25649,20.91656,19.93302,19.5132,0.6303354
24.62412,21.95564,20.2944,19.42759,19.07206,0.4946147
18.86362,17.87739,17.46657,17.17367,17.04404,0.06982873
18.34066,16.5023,15.64826,15.26125,14.95627,0.07053274
19.46207,17.81834,17.01301,16.617,16.31902,0.07104074
23.49891,23.38158,21.16636,19.9045,19.38464,0.6308644
25.16451,22.44829,20.98276,19.7916,19.56565,0.5572296
23.76447,23.15437,21.94018,20.6632,20.1883,0.01980809
24.52675,22.96239,21.90956,20.10624,19.53098,1.376835E-05
23.22346,22.57229,20.97838,19.98255,19.62437,0.5610867
24.43015,23.32368,21.24696,20.36477,19.95896,0.4720483
19.66814,17.79933,16.81479,16.38557,15.99726,0.1097428
19.63083,19.43519,19.26553,19.04975,18.99915,1.945374
19.81684,18.88592,18.69274,18.58949,18.63106,-0.000126437
23.26598,21.76634,19.89054,19.00288,18.41364,0.488045
19.40284,17.44442,16.48501,16.043,15.65714,0.1097473
21.7713,20.21624,18.65577,18.06267,17.75881,0.2623688
22.44803,19.4848,18.11742,17.43535,17.02544,0.000174587
20.65487,20.06863,20.12714,20.02257,19.89207,2.23602
23.35498,21.68655,20.12868,19.27714,18.80855,0.4653111
22.78517,22.13213,22.14195,21.97955,21.17789,2.098765
22.66973,20.96566,20.71198,20.46656,20.42199,-0.000643848
19.32085,19.05002,18.834,18.5837,18.65842,1.509065
21.55388,19.75079,19.52919,19.50962,19.47301,2.902492
18.92993,17.81862,17.4717,17.28546,17.19509,0.000286967
20.19561,18.98364,18.88089,18.79688,18.83876,0.000161334
21.18121,20.07845,20.07223,20.14668,19.90544,1.614345E-05
21.83803,20.67224,20.374,19.9945,19.77171,-0.000400229
22.77516,21.79775,20.16507,19.32095,19.10285,0.474075
22.80123,21.1268,20.93759,20.63599,20.6108,0.000369554
23.02935,21.15761,19.4404,18.59867,18.13936,0.4847409
23.44177,21.55562,19.96107,19.17291,18.65563,0.4369965
25.43159,21.89672,20.27775,19.3996,19.17815,0.4396655
23.08558,20.0183,18.53898,17.89161,17.53471,0.2988429
21.66878,20.68279,20.25478,19.9818,19.56874,0.000201977
22.2716,21.37178,21.30725,20.99753,20.5095,0.000336613
22.77676,21.98784,20.31636,19.27263,18.65749,0.6339528
23.11281,21.70014,21.32051,20.75944,20.47627,0.000382578
24.77012,21.72763,19.65332,18.8757,18.49834,0.4255288
